,doctor,city,area,speciality
0,Dr. Shishir gupte,Indore,Vijay Nagar,General Physician
1,Dr. Prashik Meshram,Indore,Vijay Nagar,General Physician
2,dr neelima deshmukh,Indore,Vijay Nagar,General Physician
3,dr sunny bherwani,Indore,Vijay Nagar,General Physician
4,Dr. Rohan Agrawal,Indore,Vijay Nagar,General Physician
5,Dr. Raushan,Indore,Vijay Nagar,General Physician
6,Dr. Sumit Sinha,Indore,Vijay Nagar,General Physician
7,Dr. Kuldeep Virani,Indore,Vijay Nagar,General Physician
8,Dr. Mahesh Ratnere,Indore,Vijay Nagar,General Physician
9,Dr. Priyanka Narwariya,Indore,Vijay Nagar,General Physician
10,Dr. Neelima Deshmukh,Indore,New Palasia,General Physician
11,Dr. Shishir Gupte,Indore,New Palasia,General Physician
12,Dr. Prashik Meshram,Indore,New Palasia,General Physician
13,Dr. V. P. Bansal,Indore,New Palasia,General Physician
14,Dr. Seema Garg,Indore,New Palasia,General Physician
